序号	行号	列号	符号类型	符号
1       1       1       关键字          void
2       1       6       标识符          function
3       1       14      界符            (
4       1       15      界符            )
5       1       16      界符            {
6       2       5       关键字          int
7       2       9       标识符          o
8       2       11      界符            =
9       2       13      数字常量        9
10      2       14      界符            ;
11      3       5       关键字          int
12      3       9       标识符          a
13      3       11      界符            =
14      3       13      标识符          o
15      3       14      界符            ;
16      4       5       界符            ;
17      4       6       界符            ;
18      4       7       界符            ;
19      5       5       关键字          while
20      5       11      界符            (
21      5       12      标识符          false
22      5       17      界符            )
23      5       19      界符            {
24      6       9       关键字          break
25      6       14      界符            ;
26      7       5       界符            }
27      8       5       关键字          int
28      8       9       标识符          t
29      8       11      界符            =
30      8       13      标识符          o
31      8       14      界符            ;
32      9       5       标识符          o
33      9       7       界符            =
34      9       9       标识符          a
35      9       10      界符            ;
36      10      5       标识符          a
37      10      7       界符            =
38      10      9       标识符          t
39      10      10      界符            ;
40      11      5       关键字          if
41      11      7       界符            (
42      11      8       标识符          i
43      11      10      界符            ==
44      11      13      数字常量        9
45      11      14      界符            )
46      11      15      界符            ;
47      12      1       界符            }
