排名,标题,评论数量,推荐率,出版社,作者,出版时间,价格,标题链接,
1,人生海海（麦家重磅力作，莫言、董卿盛赞，连续两年高居畅销榜，...,894784,100%,北京十月文艺出版社,麦家  著 ，新经典  出品,2019/4/16,¥55.00,http://product.dangdang.com/26921715.html,"['所属分类：', '图书', '>', '小说', '>', '中国当代小说']"
2,大话中国艺术史（句句有梗，一口气读完10000年中国艺术史。艺术头...,41862,99.90%,海南出版社,意公子；读客文化 出品,2022/3/1,¥112.10,http://product.dangdang.com/29374495.html,"['所属分类：', '图书', '>', '艺术', '>', '世界各国艺术概况', '>', '艺术史/艺术思想史']"
3,生死疲劳（不看不知道，莫言真幽默！全新版本！印章版和普通版随...,209949,100%,浙江文艺出版社,莫言；读客文化 出品,2022/1/1,¥66.40,http://product.dangdang.com/29343835.html,"['所属分类：', '图书', '>', '小说', '>', '中国当代小说']"
4,蛤蟆先生去看心理医生（年销200万册！英国经典心理咨询入门书，知...,1077140,100%,天津人民出版社,罗伯特·戴博德，果麦文化 出品,2020/7/1,¥28.50,http://product.dangdang.com/28992419.html,"['所属分类：', '图书', '>', '心理学', '>', '心灵疗愈']"
5,被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,603965,100%,机械工业出版社,"岸見一郎, 古賀史健",2020/3/5,¥30.00,http://product.dangdang.com/28518072.html,"['所属分类：', '图书', '>', '成功/励志', '>', '心灵与修养', '>', '心灵感悟']"
6,活着（余华代表作，精装，易烊千玺推荐阅读。当当专享印签藏书票...,677052,100%,北京十月文艺出版社,余华  著 ，新经典  出品,2021/10/1,¥31.00,http://product.dangdang.com/29311943.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说']"
7,次第花开 修订版,622777,100%,海南出版社,希阿荣博堪布,2017/2/1,¥39.00,http://product.dangdang.com/24184084.html,"['所属分类：', '图书', '>', '哲学/宗教', '>', '宗教', '>', '宗教知识读物图书', '>', '文化', '>', '传统文化', '>', '其他']"
8,马尔克斯：百年孤独（50周年纪念版）,2061178,99.80%,南海出版公司,加西亚·马尔克斯 著，新经典 出品,2017/8/1,¥39.60,http://product.dangdang.com/25138856.html,"['所属分类：', '图书', '>', '小说', '>', '世界名著', '>', '其他地区']"
9,三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！,1789154,99.80%,重庆出版社,刘慈欣,2010/11/1,¥51.10,http://product.dangdang.com/23579654.html,"['所属分类：', '图书', '>', '小说', '>', '科幻小说图书', '>', '小说', '>', '中国当代小说']"
10,你当像鸟飞往你的山（中文版销量超200万册，比尔·盖茨年度特别推...,1306441,100%,南海出版公司,塔拉 · 韦斯特弗  著 ， 新经典  出品,2019/11/1,¥34.80,http://product.dangdang.com/28473192.html,"['所属分类：', '图书', '>', '文学', '>', '外国随笔']"
11,杀死一只知更鸟（豆瓣9.2，关于勇气与正义的成长教科书，影响全球...,588617,100%,译林出版社,哈珀·李　著  李育超 译,2017/2/1,¥48.00,http://product.dangdang.com/24185602.html,"['所属分类：', '图书', '>', '小说', >世界名著'>', '美洲']"
12,法治的细节（罗翔新作，法律随笔，评热点、论法理、聊读书、谈爱...,85817,100%,云南人民出版社,罗翔，果麦文化 出品,2021/11/1,¥37.30,http://product.dangdang.com/29323524.html,"['所属分类：', '图书', '>', '法律', '>', '法律随笔']"
13,月光落在左手上（精装珍藏版）,123341,99.80%,北京十月文艺出版社,余秀华  著 ， 新经典  出品,2020/9/1,¥58.00,http://product.dangdang.com/29126248.html,"['所属分类：', '图书', '>', '文学', '>', '中国现当代诗歌']"
